5
20 15
100 14 9
200 1 5
200 6 2
200 13 11
100 6 13
100 10 4
200 3 0
300 9 9
100 1 5
200 11 2
200 11 11
100 2 13
200 12 12
400 11 13
200 8 12
200 9 9
100 8 12
200 14 2
300 7 12
300 8 8
30 20
100 10 1
200 1 9
200 17 4
200 7 19
100 3 6
300 9 16
200 19 19
100 4 17
200 18 19
200 11 11
100 18 19
100 17 4
100 12 2
100 17 4
300 8 8
100 14 0
100 15 16
100 16 17
100 2 7
400 9 17
100 4 11
200 9 19
300 2 7
200 13 8
300 2 7
100 6 5
300 5 13
100 15 8
100 9 1
200 6 18
30 40
100 0 8
200 18 2
200 34 38
100 31 29
200 4 5
200 36 36
200 17 23
200 3 3
100 1 35
200 20 20
100 11 25
100 23 17
300 17 23
300 36 38
100 6 25
200 20 26
200 39 3
200 33 29
300 22 22
200 3 30
300 30 30
300 2 2
200 12 7
400 11 39
100 33 31
100 30 3
200 32 32
100 2 34
200 16 19
400 7 33
500 400
100 212 76
200 276 346
200 98 54
100 281 339
100 74 245
200 152 248
200 183 326
200 359 207
100 349 190
100 159 107
100 225 339
100 59 117
200 293 250
200 259 317
200 218 55
200 210 324
200 28 243
100 255 181
200 265 357
100 60 76
200 289 240
100 170 63
100 263 314
100 295 170
100 282 79
200 146 172
100 368 392
100 273 75
100 283 396
200 71 337
200 330 168
200 396 226
100 66 33
100 338 384
200 102 22
200 242 192
200 23 2
100 80 9
100 37 132
200 272 355
200 339 195
100 258 233
100 15 66
100 201 73
100 275 141
100 176 295
200 231 112
200 101 6
200 345 209
200 25 127
100 136 49
100 215 17
200 238 124
200 169 178
200 304 200
100 399 306
200 389 354
200 89 295
100 70 144
100 287 61
200 171 4
200 264 88
200 299 122
200 52 349
200 133 362
100 356 256
200 93 363
200 29 128
100 14 227
100 129 12
100 42 16
200 20 308
200 73 247
100 320 24
200 167 184
100 124 238
100 14 247
100 154 343
100 201 14
400 238 124
200 349 190
200 168 153
100 209 309
100 365 96
100 332 130
100 131 229
400 198 188
300 334 348
100 181 221
100 203 171
100 112 231
200 284 42
400 22 102
200 132 27
200 290 395
100 250 293
200 106 186
200 241 275
100 381 107
100 88 264
200 40 147
100 337 206
200 124 69
300 104 104
400 54 98
100 374 302
100 359 47
100 102 36
200 142 75
200 387 387
100 345 209
300 92 305
200 252 319
400 346 276
200 358 210
300 37 37
100 306 78
200 59 59
300 189 222
400 289 240
200 48 229
100 81 191
200 199 199
200 260 260
100 32 226
200 145 357
300 360 35
200 2 2
400 354 389
200 376 100
200 190 349
400 282 262
100 122 299
400 4 203
100 122 299
100 305 207
100 199 116
300 316 316
200 266 108
400 112 69
100 313 152
400 358 210
100 308 20
200 383 344
400 187 322
100 328 275
300 145 112
300 266 266
200 234 234
100 8 51
200 87 377
200 159 159
100 210 358
100 197 230
200 265 54
400 337 71
100 55 218
200 246 246
400 376 100
200 314 314
200 216 12
200 244 253
400 4 171
100 133 362
400 385 194
300 271 271
100 2 23
100 113 259
100 49 39
100 213 13
200 197 197
200 272 272
300 250 92
100 108 266
100 105 13
100 23 320
400 337 71
200 211 211
400 305 47
100 131 310
100 98 208
200 47 47
200 175 175
300 353 353
200 398 324
200 284 284
100 294 112
200 333 333
200 119 119
300 362 362
200 177 0
400 306 115
200 172 172
200 90 90
200 85 85
400 290 333
200 239 239
300 57 171
100 88 264
200 373 120
100 377 87
100 374 369
100 231 65
100 130 354
100 241 275
100 16 3
400 376 100
100 378 331
200 346 296
200 0 317
200 12 230
100 68 90
200 291 172
300 280 147
300 377 239
100 235 387
100 18 31
200 189 358
200 158 158
300 55 372
100 341 210
400 172 146
200 334 334
100 332 234
400 71 333
200 383 383
100 52 205
200 18 387
400 131 48
200 36 102
200 6 6
300 283 283
100 31 387
200 336 336
200 114 41
400 299 122
200 44 192
300 121 154
100 288 370
100 379 312
400 224 56
100 150 52
300 143 143
300 48 157
200 108 240
100 73 247
200 111 135
200 41 41
100 6 101
200 23 286
100 72 48
100 292 158
200 38 43
200 345 345
400 363 365
300 228 132
100 327 38
200 351 351
100 243 39
100 101 64
100 106 186
300 241 241
100 6 64
100 40 321
100 167 184
200 113 365
300 385 385
200 368 271
300 393 39
300 124 388
100 182 388
100 252 92
100 27 58
300 31 120
200 142 142
100 150 190
100 207 47
400 67 322
100 295 89
300 185 192
200 46 56
200 123 123
100 257 204
400 181 41
300 268 268
400 47 174
100 369 13
100 67 19
100 371 392
100 140 264
100 133 114
