Case #1:
1 12 1
0 0 0
1 17 3
1 22 3
0 0 0
1 74 5
2 76 6
Case #2:
1 99 1
0 0 0
1 99 1
0 0 0
0 0 0
2 65 2
0 0 0
1 105 3
0 0 0
2 23 2
1 192 1
2 114 1
0 0 0
0 0 0
2 129 4
Case #3:
1 46 2
1 102 3
0 0 0
1 102 3
0 0 0
2 46 2
1 175 2
0 0 0
2 165 4
1 274 5
2 153 1
2 186 3
2 107 2
2 46 2
0 0 0
2 346 1
2 202 3
0 0 0
2 192 3
2 175 2
0 0 0
Case #4:
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 311 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 508 5
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1 1897 9
0 0 0
2 481 3
2 1053 4
0 0 0
0 0 0
0 0 0
0 0 0
1 2029 2
2 949 5
0 0 0
0 0 0
0 0 0
2 311 1
0 0 0
0 0 0
0 0 0
0 0 0
Case #5:
1 381 2
1 283 1
1 381 2
0 0 0
0 0 0
1 283 1
0 0 0
0 0 0
0 0 0
0 0 0
1 715 2
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1 2831 5
0 0 0
2 847 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 2192 9
0 0 0
2 1828 4
0 0 0
2 565 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 3086 5
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 4157 9
0 0 0
2 2734 6
2 272 3
0 0 0
0 0 0
2 1418 3
0 0 0
2 5112 5
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 715 2
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 4971 8
0 0 0
0 0 0
0 0 0
2 5683 8
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 1646 4
0 0 0
0 0 0
0 0 0
0 0 0
2 847 1
2 4472 4
2 5162 6
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 2861 7
0 0 0
2 3506 12
2 7506 8
2 5878 9
0 0 0
0 0 0
0 0 0
2 6456 14
0 0 0
2 2831 5
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 7084 1
0 0 0
2 4414 6
2 1965 1
0 0 0
2 5073 13
0 0 0
0 0 0
2 3794 6
0 0 0
0 0 0
0 0 0
2 6289 18
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 6052 1
0 0 0
2 4379 3
0 0 0
0 0 0
2 8251 21
0 0 0
0 0 0
0 0 0
0 0 0
2 2711 4
0 0 0
2 10103 24
0 0 0
0 0 0
0 0 0
0 0 0
2 8686 5
2 5795 1
0 0 0
2 6748 15
0 0 0
2 10751 12
0 0 0
0 0 0
2 8576 7
0 0 0
2 5683 8
0 0 0
0 0 0
2 6860 2
0 0 0
0 0 0
2 6026 15
2 4368 2
0 0 0
0 0 0
2 2937 10
2 8046 4
2 10857 7
0 0 0
2 4249 10
0 0 0
2 4316 12
0 0 0
2 8537 12
0 0 0
2 11197 27
0 0 0
2 7551 10
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 11328 7
0 0 0
0 0 0
0 0 0
0 0 0
2 7739 14
0 0 0
2 11236 17
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2 8046 4
0 0 0
0 0 0
0 0 0
0 0 0
2 5455 11
0 0 0
2 1855 2
0 0 0
2 6028 14
2 9544 9
0 0 0
0 0 0
2 2469 10
2 10665 23
0 0 0
2 7199 17
2 12690 29
0 0 0
0 0 0
0 0 0
2 6647 6
2 13496 22
0 0 0
2 11556 4
0 0 0
0 0 0
0 0 0
2 12914 22
0 0 0
0 0 0
2 6866 10
2 11228 24
0 0 0
0 0 0
2 12357 3
0 0 0
2 4813 12
0 0 0
2 10307 12
0 0 0
0 0 0
2 7881 14
2 7532 11
2 11840 13
2 9661 11
0 0 0
2 1735 3
